ORDERDATE,CITY,PRODUCTLINE,STATUS,QUANTITYORDERED,PRICEEACH,SALES,CITY_TOP,CITY_TOP_Madrid,CITY_TOP_Manchester,CITY_TOP_Melbourne,CITY_TOP_NYC,CITY_TOP_Nantes,CITY_TOP_New Bedford,CITY_TOP_Other,CITY_TOP_Paris,CITY_TOP_San Francisco,CITY_TOP_San Rafael,CITY_TOP_Singapore,PRODUCTLINE_Classic Cars,PRODUCTLINE_Motorcycles,PRODUCTLINE_Planes,PRODUCTLINE_Ships,PRODUCTLINE_Trains,PRODUCTLINE_Trucks and Buses,PRODUCTLINE_Vintage Cars,STATUS_Cancelled,STATUS_Disputed,STATUS_In Process,STATUS_On Hold,STATUS_Resolved,STATUS_Shipped,SALES_LOG1P,PRICEEACH_LOG1P,QUANTITYORDERED_YJ,SALES_LOG1P_STD,PRICEEACH_LOG1P_STD,QUANTITYORDERED_YJ_STD,SALES_MM,PRICEEACH_MM,QUANTITYORDERED_MM
2003-01-06,Nashua,Vintage Cars,Shipped,30.0,100.0,5151.0,Other,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,8.54714026778419,4.61512051684126,10.779232502977782,0.9772149149449784,0.7447315744112115,-0.5027033539745942,0.5151735229086801,1.0,0.2794857462269409
2003-01-06,Nashua,Vintage Cars,Shipped,50.0,67.8,3390.0,Other,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,8.128880142125638,4.231203744939298,14.925497315272617,0.16132746551805088,-0.6046711992908713,1.5579323994073224,0.3025842954917345,0.519158976196876,0.8384572386808227
2003-01-06,Nashua,Vintage Cars,Shipped,22.0,86.51,1903.22,Other,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,7.551827754894848,4.47175307254774,8.805943150564206,-0.9643112734417222,0.24081916123417801,-1.4834006262023,0.12309911006358767,0.7985544903383808,0.055897149245388134
2003-01-06,Nashua,Vintage Cars,Shipped,49.0,34.47,1689.03,Other,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,7.432501559238854,3.5686872687855304,14.736931873780104,-1.1970772949942174,-2.9333049969659513,1.464218006289084,0.09724193424278382,0.021443717707493315,0.8105086640581285
2003-01-09,Frankfurt,Vintage Cars,Shipped,45.0,33.034,1404.0,Other,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,7.247792581767846,3.5273600249492447,13.966075138951927,-1.557383542877149,-3.0785632965340333,1.0811129658652374,0.06283290102833064,0.0,0.6987143655673522
2003-01-09,Frankfurt,Vintage Cars,Shipped,46.0,53.76,2472.96,Other,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,7.813575384672981,4.002960000420248,14.161377611660777,-0.45372804316850746,-1.4069095084127383,1.1781755694872693,0.19187854585491682,0.30950034345787414,0.7266629401900462
2003-01-09,Frankfurt,Vintage Cars,Shipped,25.0,100.0,3782.0,Other,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,8.23827262463303,4.61512051684126,9.57572149487329,0.37471609155288577,0.7447315744112115,-1.1008315308182302,0.349906826523786,1.0,0.13974287311347044
2003-01-09,Frankfurt,Vintage Cars,Shipped,26.0,100.0,3773.38,Other,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,8.235991409783924,4.61512051684126,9.823805373555334,0.3702661943462106,0.7447315744112115,-0.9775373049564378,0.3488662137240506,1.0,0.1676914477361645
2003-01-10,NYC,Vintage Cars,Shipped,41.0,50.14,2055.74,NYC,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,7.628877483997594,3.9345669698630408,13.166125611826143,-0.8140126838793162,-1.6472994884560006,0.6835492136397722,0.1415114376988134,0.2554430606576472,0.5869200670765757
2003-01-10,NYC,Vintage Cars,Shipped,39.0,100.0,4808.31,NYC,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,8.478308901666257,4.61512051684126,12.754015005493859,0.8429476389188214,0.7447315744112115,0.4787359930181514,0.47380373168578804,1.0,0.5310229178311876
